№ п.п.,07.09.23,11.09.23,14.09.23,21.09.23,26.09.23,28.09.23,28.09.23,03.10.23,03.10.23,10.10.23,17.10.23,17.10.23,24.10.23,24.10.23,31.10.23,31.10.23,07.11.23,07.11.23,14.11.23,14.11.23,21.11.23,21.11.23,28.11.23,28.11.23,05.12.23,05.12.23,12.12.23,12.12.23,19.12.23,19.12.23,26.12.23,26.12.23,,,Лаб 1,Лаб 1,Лаб 2,Лаб 2,Лаб 3,Лаб 3,Лаб 4,Лаб 4,Лаб 5,Лаб 5,Лаб 6,Лаб 6,Лаб 7,Лаб 7,Лаб 8,Лаб 8,Лаб 9,Лаб 9,Лаб 10,Лаб 10,Итого,,,,
,лек,лек,лаб,лек,лек,лаб,лаб,лек,лаб,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,лек,лаб,,,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,Дата,Балл,,проект,Экзамен,Итого,Оценка
1,,,,,,,,,,н,,,,н,,,н,н,н,н,,,н,,,н,,,н,,,,,,28.09.23,10,31.10.23,10,31.10.23,10,31.10.23,10,21.11.23,5,21.11.23,10,12.12.23,5,,,,,,,60,,,60,Удовлетворительно
2,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,Неудовлетворительно
3,,,,,н,,,,,,,,,,,,,,,,,,,,,н,,,,,,,,,26.09.23,10,10.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70,15,,85,Отлично
4,,,,н,,,,,,,,,н,н,,,,,,,,,,,,н,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,31.10..23,10,07.11.23,10,07.11.23,10,12.12.23,10,,,,,,,70,15,,85,Отлично
5,,,,,,,,,,,,,,,,,н,н,,,,,,,,н,,,н,,,,,,03.10.23,10,10.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70,15,,85,Отлично
6,,,,н,н,,,,,н,,,н,н,,,н,н,н,н,,,н,н,н,н,н,н,н,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,31.10..23,10,21.11.23,5,21.11.23,5,,,,,,,,,50,,,50,Неудовлетворительно
7,,,,н,,,,,,,,,,,н,н,,,,,,,н,н,н,н,н,,,,,,,,03.10.23,10,,,23.10.23,5,24.10.23,10,07.11.23,10,07.11.23,10,12.12.23,10,,,,,,,55,15,,70,Удовлетворительно
8,,,,,,,,н,н,,н,н,н,н,н,н,н,н,,,,,н,н,,,н,н,,,,,,,10.10.23,5,10.10.23,10,17.10.23,10,17.10.23,10,17.10.23,10,21.11.23,5,05.12.23,10,,,,,,,60,15,,75,Хорошо
9,,,,,,,,,,,,,,,,,,,,,,,н,н,,н,,,н,,,,,,26.09.23,10,28.09.23,10,02.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,,,,,,,,,60,,,60,Удовлетворительно
10,,,,н,,,,,,,,,,,,,,,,,,,,н,,,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,28.11.23,10,,,,,,,70,15,,85,Отлично
11,,,,,,н,н,,,,н,н,,,,,н,н,,,,,н,н,,,,,н,,,,,,03.10.23,10,10.10.23,10,24.10.23,10,31.10.23,10,31.10.23,10,14.11.23,10,05.12.23,10,,,,,,,70,,,70,Удовлетворительно
12,,,,н,н,н,н,,,,,,,,н,н,,,н,н,,,,,,н,,,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,,,,,,,,,60,,,60,Удовлетворительно
13,,,,н,н,,,,,н,н,н,н,н,н,н,н,н,,,н,н,н,н,н,н,,,,,,,,,03.10.23,10,21.11.23,5,19.12.23,5,19.12.23,5,19.12.23,5,19.12.23,5,,,,,,,,,35,15,,50,Неудовлетворительно
14,,,,н,н,,,,,,,,,,,н,н,н,,,,,н,н,,н,н,н,,,,,,,03.10.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,14.11.23,10,19.12.23,10,,,,,,,70,,,70,Удовлетворительно
15,,,,н,н,,,н,н,н,н,н,,,н,н,н,н,,,н,н,н,н,н,н,н,н,н,,,,,,28.09.23,10,,,,,,,,,,,,,,,,,,,10,,,10,Неудовлетворительно
16,,,,,,,,,,н,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,03.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,28.11.23,10,,,,,,,70,15,,85,Отлично
17,,,,н,н,н,н,,,н,н,н,н,н,,,н,н,,,н,н,н,н,,н,,,н,,,,,,03.10.23,10,31.10.23,10,31.10.23,10,31.10.23,10,31.10.23,10,14.11.23,10,12.12.23,5,,,,,,,65,,,65,Удовлетворительно
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09.23,10,10.10.23,10,17.10.23,10,24.10.23,10,31.10.23,10,07.11.23,10,12.12.23,10,,,,,,,70,15,,85,Отлично
19,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,н,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,Неудовлетворительно
